i \in I,j \in M,d_ij
1,E1,675.7915540128338
1,E2,507.0194055657054
1,E3,593.6726323651619
1,E4,680.6118370956365
1,E5,665.4839494137381
1,E6,677.902831076933
1,E7,658.4787588291717
1,E8,624.9224157846149
1,E9,436.4094622268594
1,E10,434.58036874139606
1,E11,497.427560162407
1,E12,294.2408413618292
1,E13,308.27443208785206
1,E14,342.24177849260684
1,E15,354.8098928402004
1,E16,216.64753733858493
1,E17,270.0520527745542
1,E18,397.4674297097111
1,E19,75.1308516091575
1,E20,92.96813677307503
1,E21,114.19133695537988
1,E22,101.17601354126282
1,E23,106.83979912381814
1,E24,209.59906859987018
1,E25,58.655883637027436
1,E26,44.49741945422239
1,E27,61.315045142035174
1,E28,107.5734231002462
1,E29,133.14917673508583
1,E30,172.06560492546012
1,E31,193.45590097759018
1,E32,151.6348503317284
1,E33,128.67712634082733
1,E34,170.83349916454904
1,E35,202.2462437666253
1,E36,269.78902279378514
1,E37,270.3654567508614
1,E38,257.56528857163096
1,E39,523.2328825146827
1,E40,517.5331899184561
1,E41,433.5120353396308
1,E42,364.1547229646762
1,E43,411.7092902587342
1,E44,538.6719058847242
1,E45,301.3410758601006
1,E46,405.9838725792541
1,P1,445.57795306839864
1,P2,671.9407855222391
1,P3,220.87484753932247
1,P4,103.24075620131212
1,P5,26.817437779729676
1,P6,317.26136897338256
1,P7,344.1324558536396
1,P8,186.73403832912737
1,P9,180.1739362843349
1,P10,114.65259481924696
1,P11,683.4975201230499
1,P12,109.25217011528404
1,P13,85.54309583465542
1,P14,96.4361521596138
1,P15,103.80445715071006
1,P16,171.4462679743626
1,P17,114.06752597552578
1,P18,162.12966915120148
1,P19,473.1862867703611
1,P20,127.353857374065
1,P21,209.00709551601312
1,P22,51.98755508834616
1,P23,131.60531652304326
1,P24,241.3986791801312
1,P25,77.81414812842795
1,P26,122.74922982458672
1,P27,132.75839418810745
1,P28,109.19424374541653
1,P29,268.17145047969785
1,P30,295.6997243371856
1,P31,268.56838009714306
1,P32,550.5735466054333
1,P33,493.1103312601326
1,P34,182.0235388712667
1,P35,98.71235962898486
1,P36,509.5909946799688
1,P37,165.9778491013035
1,P38,426.53709180814025
1,P39,189.61452344809274
1,P40,125.4038908786972
1,P41,53.084234632556026
1,P42,61.444237875299855
1,P43,81.50394343153667
1,P44,218.44431347240257
1,P45,39.895239820414176
1,P46,91.07955715324904
1,P47,275.2551825986108
1,P48,133.19966346232295
1,P49,82.61918562432322
1,P50,436.47487788208423
2,E1,381.6658656539817
2,E2,306.5893222292422
2,E3,303.3103476656857
2,E4,482.59462903958644
2,E5,472.8531871724899
2,E6,466.867224113248
2,E7,467.0943769189871
2,E8,587.2007870273883
2,E9,530.2517865841472
2,E10,541.7303526762435
2,E11,605.184692180775
2,E12,558.2118057914512
